id,title,Publish Time,Mission,Methods,Object
256,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...943..167K"", ""Using Neural Networks to Differentiate Newly Discovered BL Lacertae Objects and FSRQs among the 4FGL Unassociated Sources Employing Gamma-Ray, X-Ray, UV/Optical, and IR Data"")",2023-2-1,Object Classification,NN:MLP,AGN
257,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...943..150A"", ""When Spectral Modeling Meets Convolutional Networks: A Method for Discovering Reionization-era Lensed Quasars in Multiband Imaging Data"")",2023-2-1,Object Detection,CNN,Gravitational Lenses
258,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...943..141Z"", ""tudy of the Effect of Martian Dust Storms on Ionospheric Electron Density Based on Physical-grid Deep Neural Learning Technology"")",2023-2-1,Prediction-Regression,NN:Physical_gridDNN,Planet
259,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....165...52C"", ""Li-rich Giants Identified from LAMOST DR8 Low-resolution Survey"")",2023-2-1,Object Detection,CNN,Stars
260,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...670A..76C"", ""Constraining the polarisation flux density and angle of point sources by training a convolutional neural network"")",2023-2-1,Prediction-Regression,CNN,Cosmology
262,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...670A..55B"", ""A comparative study of source-finding techniques in H I emission line cubes using SoFiA, MTObjects, and supervised deep learning"")",2023-2-1,Object Detection,CNN,Galaxies
263,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...670A..54D"", ""ASTROMER. A transformer-based embedding for the representation of light curves"")",2023-2-1,Feature Extraction/Dim Reduction/Cluster,Transformer,Stars
264,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23a5001Z"", ""Rapid Deformation Calculation for Large Reflector Antennas: A Surrogate Model Method"")",2023-1-1,Simulation,CNN,Instruments/Software/Methods
265,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.107b4034F"", ""Optimizing the placement of numerical relativity simulations using a mismatch predicting neural network"")",2023-1-1,Simulation,NN,Gravitational Waves
266,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.107b4030C"", ""Deep learning network to distinguish binary black hole signals from short-duration noise transients"")",2023-1-1,Object Detection,NN,Black Hole
267,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.107b4007B"", ""Convolutional neural network to distinguish glitches from minute-long gravitational wave transients"")",2023-1-1,Object Detection,NN,Gravitational Waves
268,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.5718B"", ""Neural networks: solving the chemistry of the interstellar medium"")",2023-1-1,Simulation,PINNS,Interstellar Medium
269,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.5670C"", ""Modelling the galaxy-halo connection with semi-recurrent neural networks"")",2023-1-1,Simulation,RNN,Galaxies
270,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3407D"", ""3D detection and characterization of ALMA sources through deep learning"")",2023-1-1,Object Detection,CNN,Instruments/Software/Methods
271,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3123C"", ""Photometric identification of compact galaxies, stars, and quasars using multiple neural networks"")",2023-1-1,Object Classification,CNN,Galaxies
273,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.2794C"", ""Lessons learned from the two largest Galaxy morphological classification catalogues built by convolutional neural networks"")",2023-1-1,Object Classification,CNN,Galaxies
274,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.2241G"", ""Deep learning reconstruction of the large-scale structure of the Universe from luminosity distance"")",2023-1-1,Data Reconstruction,CNN,Cosmology
275,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.1022S"", ""Identification of Grand-design and Flocculent spirals from SDSS using deep convolutional neural network"")",2023-1-1,Object Classification,CNN,Galaxies
276,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518..752M"", ""Self-supervised clustering on image-subtracted data with deep-embedded self-organizing map"")",2023-1-1,Object Classification,AE,Transient
277,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.518..604T"", ""Image reconstruction algorithms in radio interferometry: From handcrafted to learned regularization denoisers"")",2023-1-1,Data Reconstruction,NN,Instruments/Software/Methods
278,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..264....2Y"", ""Pulsar-candidate Selection Using a Generative Adversarial Network and ResNeXt"")",2023-1-1,Object Detection,GAN:DCGGAN,Stars
279,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...943...32J"", ""Galaxy Spin Classification. I. Z-wise versus S-wise Spirals with the Chirality Equivariant Residual Network"")",2023-1-1,Object Classification,CNN:ResNet,Galaxies
280,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...943....4L"", ""A Framework for Obtaining Accurate Posteriors of Strong Gravitational Lensing Parameters with Flexible Priors and Implicit Likelihoods Using Density Estimation"")",2023-1-1,Prediction-Regression,NN,Gravitational Lenses
281,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...942...95X"", ""Application of Convolutional Neural Networks to Predict Magnetic Fields' Directions in Turbulent Clouds"")",2023-1-1,Prediction,CNN,Galaxies
282,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...942...77B"", ""Low-energy Electron-track Imaging for a Liquid Argon Time-projection-chamber Telescope Concept Using Probabilistic Deep Learning"")",2023-1-1,Data Reconstruction,CNN,High Energy: Gamma Rays
283,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...942...75W"", ""From Images to Dark Matter: End-to-end Inference of Substructure from Hundreds of Strong Gravitational Lenses"")",2023-1-1,Prediction,CNN,Dark Matter
284,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...942...73X"", ""Cosmic-CoNN: A Cosmic-Ray Detection Deep-learning Framework, Data Set, and Toolkit"")",2023-1-1,Object Detection,NN,Cosmology
285,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...942...26G"", ""Deep Potential: Recovering the Gravitational Potential from a Snapshot of Phase Space"")",2023-1-1,Prediction,Flow:Normalizing Flow,Galaxies
287,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....165...26J"", ""Detection of Strongly Lensed Arcs in Galaxy Clusters with Transformers"")",2023-1-1,Object Detection,Transformer,Gravitational Lenses
288,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....165...18P"", ""Deep Attention-based Supernovae Classification of Multiband Light Curves"")",2023-1-1,Object Classification,Transformer,Stars
289,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....165...11C"", ""ODNet: A Convolutional Neural Network for Asteroid Occultation Detection"")",2023-1-1,Object Detection,CNN,Planet
291,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...669A.141S"", ""Merger identification through photometric bands, colours, and their errors"")",2023-1-1,Object Detection,NN,Galaxies
292,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...669A.106E"", ""Deep solar ALMA neural network estimator for image refinement and estimates of small-scale dynamics"")",2023-1-1,Image Refinement,NN:Deep-SANNE,Solar
293,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...669A.101K"", ""Neural network for determining an asteroid mineral composition from reflectance spectra"")",2023-1-1,Object Classification,NN,Planet
294,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...669A..91J"", ""Kinematic analysis of the Large Magellanic Cloud using Gaia DR3"")",2023-1-1,Object Classification,NN,Galaxies
295,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...669A..42I"", ""LSTM and CNN application for core-collapse supernova search in gravitational wave real data"")",2023-1-1,Object Detection,LSTM,Stars
297,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106l4047C"", ""Using physics-informed neural networks to compute quasinormal modes"")",2023-1-1,Simulation,PINNS,Black Hole
298,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106l2002Z"", ""Deep learning model based on a bidirectional gated recurrent unit for the detection of gravitational wave signals"")",2023-1-1,Object Detection,RNN:BIGRU,Gravitational Waves
299,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4902X"", ""Discovering Ca II absorption lines with a neural network"")",2022-12-1,Object Detection,NN,Quasars
300,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4875L"", ""The stellar parameters and elemental abundances from low-resolution spectra - I. 1.2 million giants from LAMOST DR8"")",2022-12-1,Statistical Inference,CNN,Stars
301,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJS..263...25S"", ""Improving the Spatial Resolution of Solar Images Based on an Improved Conditional Denoising Diffusion Probability Model"")",2022-12-1,Image Refinement,Diffusion:IDDPM,Solar
302,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941..200G"", ""An Interpretable Machine-learning Framework for Modeling High-resolution Spectroscopic Data"")",2022-12-1,Simulation,NN,Instruments/Software/Methods
303,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941..141H"", ""Deblending Galaxies with Generative Adversarial Networks"")",2022-12-1,Object Detection,GAN,Galaxies
304,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941..132M"", ""Inpainting Hydrodynamical Maps with Deep Learning"")",2022-12-1,Data Reconstruction,CNN,Cosmology
306,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941...81X"", ""A Census of Outflow to Magnetic Field Orientations in Nearby Molecular Clouds"")",2022-12-1,Prediction-Regression,CNN,Interstellar Medium
307,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941...42H"", ""HYPHY: Deep Generative Conditional Posterior Mapping of Hydrodynamical Physics"")",2022-12-1,Generation,VAE,Cosmology
308,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941...20L"", ""Deep Learning Based Solar Flare Forecasting Model. II. Influence of Image Resolution"")",2022-12-1,Prediction,CNN,Solar
309,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941....7J"", ""Mangrove: Learning Galaxy Properties from Merger Trees"")",2022-12-1,Simulation,GNN,Galaxies
310,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...941....1S"", ""Solar Flare Forecast Using 3D Convolutional Neural Networks"")",2022-12-1,Prediction,CNN,Solar
311,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...940..147L"", ""Deep Learning-based Fast Spectral Inversion of H\ensuremath\alpha and Ca II 8542 Line Spectra"")",2022-12-1,Statistical Inference,NN,Solar
312,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...940..134F"", ""Neural Networks for Nuclear Reactions in MAESTROeX"")",2022-12-1,Simulation,CNN:ResNet,Stars
313,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022AJ....164..263M"", ""Deep Generative Modeling of Periodic Variable Stars Using Physical Parameters"")",2022-12-1,Generation,VAE,Stars
314,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022AJ....164..250L"", ""Toward the Automated Detection of Light Echoes in Synoptic Surveys: Considerations on the Application of Deep Convolutional Neural Networks"")",2022-12-1,Object Detection,CNN,Interstellar Medium
315,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...668A..73R"", ""Search of strong lens systems in the Dark Energy Survey using convolutional neural networks"")",2022-12-1,Object Detection,CNN,Gravitational Lenses
317,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...668A..36Q"", ""A deep learning approach for focal-plane wavefront sensing using vortex phase diversity"")",2022-12-1,Prediction-Regression,NN,Instruments/Software/Methods
318,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...668A..28M"", ""Radio source-component association for the LOFAR Two-metre Sky Survey with region-based convolutional neural networks"")",2022-12-1,Object Classification,CNN,Instruments/Software/Methods
319,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022RAA....22k5017Z"", ""Photometric Redshift Estimates using Bayesian Neural Networks in the CSST Survey"")",2022-12-1,Prediction-Regression,BNN,Cosmology
320,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022RAA....22k5011W"", ""A Lightweight Deep Learning Framework for Galaxy Morphology Classification"")",2022-11-1,Object Classification,CNN:EfficientNet,Galaxies
321,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022RAA....22k5008Y"", ""Gravitational Wave Detection Based on Squeeze-and-excitation Shrinkage Networks and Multiple Detector Coherent SNR"")",2022-11-1,Object Detection,NN:SENet,Gravitational Waves
322,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j4029T"", ""Accelerating multimodal gravitational waveforms from precessing compact binaries with artificial neural networks"")",2022-11-1,Simulation,NN,Black Hole
323,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j3023F"", ""Extracting nuclear matter properties from the neutron star matter equation of state using deep neural networks"")",2022-11-1,Statistical Inference,NN,Stars
324,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106j3013M"", ""Deep learning and Bayesian inference of gravitational-wave populations: Hierarchical black-hole mergers"")",2022-11-1,Simulation,NN,Black Hole
325,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.1156R"", ""A machine learning based approach to gravitational lens identification with the International LOFAR Telescope"")",2022-11-1,Object Detection,CNN,Gravitational Lenses
326,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..808L"", ""Automatic classification of galaxy morphology based on the RegNetX-CBAM3 algorithm"")",2022-11-1,Object Classification,NN:RegNetX-CBAM3,Galaxies
327,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..755C"", ""Harvesting the Ly \ensuremath\alpha forest with convolutional neural networks"")",2022-11-1,Object Detection,CNN,Interstellar Medium
328,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.517..393M"", ""Real-time detection of anomalies in large-scale transient surveys"")",2022-11-1,Anomaly Detection,CNN:TCN,Transient
329,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.5785W"", ""Discovering faint and high apparent motion rate near-Earth asteroids using a deep learning program"")",2022-11-1,Object Detection,CNN,Planet
330,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.5521F"", ""A machine learning approach to photometric metallicities of giant stars"")",2022-11-1,Prediction-Regression,NN,Stars
331,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.4354W"", ""The merger fraction of post-starburst galaxies in UNIONS"")",2022-11-1,Object Classification,CNN,Galaxies
332,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.3398N"", ""The missing radial velocities of Gaia: Blind predictions for DR3"")",2022-11-1,Prediction-Regression,NN,Stars
333,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...940...60S"", ""A Machine-learning Approach to Enhancing eROSITA Observations"")",2022-11-1,Simulation,CNN,Cosmology
334,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...940...26K"", ""Physics-informed Machine Learning for Modeling Turbulence in Supernovae"")",2022-11-1,Simulation,CNN,Stars
335,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...940...22N"", ""Charting Galactic Accelerations with Stellar Streams and Machine Learning"")",2022-11-1,Data Reconstruction,NN:MLP,Galaxies
337,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...939...73T"", ""A Machine Learning Framework to Predict Images of Edge-on Protoplanetary Disks"")",2022-11-1,Prediction,AE,Planet
338,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...939...66J"", ""Inferring Line-of-sight Velocities and Doppler Widths from Stokes Profiles of GST/NIRIS Using Stacked Deep Neural Networks"")",2022-11-1,Statistical Inference,CNN:SDNN,Solar
339,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...939...64D"", ""Deep-learning Reconstruction of Sunspot Vector Magnetic Fields for Forecasting Solar Storms"")",2022-11-1,Data Reconstruction,CNN,Solar
340,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...939...13C"", ""Determining the Core Structure and Nuclear Equation of State of Rotating Core-collapse Supernovae with Gravitational Waves by Convolutional Neural Networks"")",2022-11-1,Prediction-Regression,CNN,Stars
342,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022AJ....164..195F"", ""DELIGHT: Deep Learning Identification of Galaxy Hosts of Transients using Multiresolution Images"")",2022-11-1,Object Detection,CNN,Galaxies
343,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022AJ....164..192Z"", ""MAGIC: Microlensing Analysis Guided by Intelligent Computation"")",2022-11-1,Statistical Inference,Unet,Planet
344,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...667A.132B"", ""FarNet-II: An improved solar far-side active region detection method"")",2022-11-1,Object Detection,CNN:ConvLSTM,Solar
346,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516.2406J"", ""Galaxies and haloes on graph neural networks: Deep generative modelling scalar and vector quantities for intrinsic alignment"")",2022-11-1,Simulation,GNN,Galaxies
347,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..264S"", ""A photometry pipeline for SDSS images based on convolutional neural networks"")",2022-11-1,Data Processing,CNN,Instruments/Software/Methods
349,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5665B"", ""Time-delay estimation in unresolved lensed quasars"")",2022-10-1,Prediction-Regression,CNN:Conv1D,Quasars
350,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5285D"", ""Photometric redshifts from SDSS images with an interpretable deep capsule network"")",2022-10-1,Prediction-Regression,CNN:Encoder-Decoder,Galaxies
351,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.5062B"", ""Forecasting the solar cycle 25 using a multistep Bayesian neural network"")",2022-10-1,Prediction,BNN,Solar
352,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.4711B"", ""WISE-PS1-STRM: neural network source classification and photometric redshifts for WISE\texttimesPS1"")",2022-10-1,Object Classification,NN:MLP,Galaxies
353,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJS..262...50J"", ""Improved AI-generated Solar Farside Magnetograms by STEREO and SDO Data Sets and Their Release"")",2022-10-1,Generation,CNN:Pix2PixCC,Solar
354,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJS..262...45S"", ""A Dynamic Deep-learning Model for Generating a Magnetogram Sequence from an SDO/AIA EUV Image Sequence"")",2022-10-1,Generation,GAN:convGRU-pix2pix,Solar
355,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...938..157K"", ""Deep Learning-based Search for Microlensing Signature from Binary Black Hole Events in GWTC-1 and -2"")",2022-10-1,Object Classification,CNN,Black Hole
356,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...938...37S"", ""Variable Star Classification with a Multiple-input Neural Network"")",2022-10-1,Object Classification,CNN,Stars
357,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...938...18L"", ""Predicting the Stability of Hierarchical Triple Systems with Convolutional Neural Networks"")",2022-10-1,Prediction,CNN,Stars
358,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...938...11H"", ""Accelerated Bayesian SED Modeling Using Amortized Neural Posterior Estimation"")",2022-10-1,Simulation,Flow:Masked Autoregressive Flow,Galaxies
359,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...937..115V"", ""Learning Cosmology and Clustering with Cosmic Graphs"")",2022-10-1,Statistical Inference,GNN,Cosmology
360,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...937..111L"", ""Generation of Solar Coronal White-light Images from SDO/AIA EUV Images by Deep Learning"")",2022-10-1,Generation,GAN:cGAN,Solar
361,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...937..100S"", ""Exploring the Limits of Synthetic Creation of Solar EUV Images via Image-to-image Translation"")",2022-10-1,Generation,Unet,Solar
362,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022AJ....164..148T"", ""The AGEL Survey: Spectroscopic Confirmation of Strong Gravitational Lenses in the DES and DECaLS Fields Selected Using Convolutional Neural Networks"")",2022-10-1,Object Detection,CNN,Gravitational Lenses
363,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A.176A"", ""Inferring properties of dust in supernovae with neural networks"")",2022-10-1,Prediction,NN:MLP,Interstellar Medium
364,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A.171D"", ""ULISSE: A tool for one-shot sky exploration and its application for detection of active galactic nuclei"")",2022-10-1,Object Detection,CNN,AGN
366,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A..93H"", ""Calibration scheme for space-borne full-disk vector magnetograph under the influence of orbiter velocity"")",2022-10-1,Prediction,CNN:ResNet,Instruments/Software/Methods
367,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A..89C"", ""CENN: A fully convolutional neural network for CMB recovery in realistic microwave sky simulations"")",2022-10-1,Data Processing,Unet,Cosmology
368,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A..85L"", ""Galaxy morphoto-Z with neural Networks (GaZNets). I. Optimized accuracy and outlier fraction from imaging and photometry"")",2022-10-1,Prediction-Regression,CNN,Galaxies
369,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A..70T"", ""Neural networks and PCA coefficients to identify and correct aberrations in adaptive optics"")",2022-10-1,Prediction,NN:MLP,Instruments/Software/Methods
370,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022A&A...666A...1S"", ""Strong lensing in UNIONS: Toward a pipeline from discovery to modeling"")",2022-10-1,Object Detection,CNN:EfficientNet,Gravitational Lenses
371,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106f3023W"", ""Galaxy deblending using residual dense neural networks"")",2022-9-1,Data Processing,CNN:ResNet,Galaxies
372,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106f3008Y"", ""Boosting the efficiency of parametric detection with hierarchical neural networks"")",2022-9-1,Data Processing,NN:HDN,Gravitational Lenses
373,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.4065I"", ""Classification of cosmic structures for galaxies with deep learning: connecting cosmological simulations with observations"")",2022-9-1,Object Classification,CNN,Cosmology
374,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.3818T"", ""Machine learning for galactic archaeology: a chemistry-based neural network method for identification of accreted disc stars"")",2022-9-1,Object Detection,NN:MLP,Stars
375,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.1705Z"", ""Determining active galactic nucleus luminosity histories using present-day outflow properties: a neural network-based approach"")",2022-9-1,Prediction,NN:MLP,AGN
376,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515.1568W"", ""Deep forest: neural network reconstruction of intergalactic medium temperature"")",2022-9-1,Data Reconstruction,CNN,Interstellar Medium
377,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..977D"", ""Deep learning unresolved lensed light curves"")",2022-9-1,Data Processing,CNN,Gravitational Lenses
378,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..652H"", ""Realistic galaxy images and improved robustness in machine learning tasks from generative modelling"")",2022-9-1,Generation,GAN:VAE+StyleGAN,Galaxies
379,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJS..262...24W"", ""Likelihood-free Inference with the Mixture Density Network"")",2022-9-1,Statistical Inference,NN:MDN,Cosmology
380,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...937...32S"", ""The Quasar Luminosity Function at z  5 via Deep Learning and Bayesian Information Criterion"")",2022-9-1,Object Detection,NN:MLP,Quasars
381,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...936..165L"", ""A New Census of the 0.2 < z < 3.0 Universe. II. The Star-forming Sequence"")",2022-9-1,Statistical Inference,Flow:Normalizing Flow,Stars
382,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...936...93A"", ""Using Bayesian Deep Learning to Infer Planet Mass from Gaps in Protoplanetary Disks"")",2022-9-1,Prediction-Regression,BNN,Planet
383,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...936...39S"", ""X-Ray Redshifts of Obscured Chandra Source Catalog Active Galactic Nuclei"")",2022-9-1,Prediction-Regression,NN:MLP,AGN
384,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJ...936...21Z"", ""A Reliable Calibration of H II Galaxies Hubble Diagram with Cosmic Chronometers and Artificial Neural Network"")",2022-9-1,Data Processing,NN,Cosmology
385,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022PhRvD.106d2002B"", ""Convolutional neural network for gravitational-wave early alert: Going down in frequency"")",2022-8-1,Object Detection,CNN,Gravitational Waves
386,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.5159M"", ""The dark energy survey 5-yr photometrically identified type Ia supernovae"")",2022-8-1,Object Classification,BNN,Stars
387,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4588L"", ""Estimating atmospheric parameters from LAMOST low-resolution spectra with low SNR"")",2022-8-1,Statistical Inference,NN:MLP,Stars
388,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4061P"", ""AGN X-ray spectroscopy with neural networks"")",2022-8-1,Prediction-Regression,NN:MLP,AGN
389,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.4026S"", ""The scatter in the galaxy-halo connection: a machine learning analysis"")",2022-8-1,Prediction,NN:MLP,Galaxies
390,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.3396M"", ""Primordial non-Gaussianity from the completed SDSS-IV extended Baryon Oscillation Spectroscopic Survey II: measurements in Fourier space with optimal weights"")",2022-8-1,Data Processing,NN:MLP,Quasars
391,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.3294B"", ""Star formation characteristics of CNN-identified post-mergers in the Ultraviolet Near Infrared Optical Northern Survey (UNIONS)"")",2022-8-1,Object Detection,CNN,Galaxies
392,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.2614C"", ""Deep radio-interferometric imaging with POLISH: DSA-2000 and weak lensing"")",2022-8-1,Image Refinement,CNN:ResNet,Gravitational Lenses
394,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2022ApJS..261...36X"", ""A Model RRNet for Spectral Information Exploitation and LAMOST Medium-resolution Spectrum Parameter Estimation"")",2022-8-1,Prediction-Regression,CNN:CNN+RNN,Stars
